gene_id	entrez	TCGA-BC-4072-01B-11R-A155-07	TCGA-BC-4073-01B-02R-A131-07	TCGA-BC-A10Q-01A-11R-A131-07	TCGA-BC-A10Q-11A-11R-A131-07	TCGA-BC-A10R-01A-11R-A131-07	TCGA-BC-A10R-11A-11R-A131-07	TCGA-BC-A10S-01A-22R-A131-07
?	100130426	0	0	0	0	0	0	0
?	100133144	16	19	8	2	0	0	3
?	100134869	11	17	7	0	11	0	6
?	10357	393	300	174	104	172	118	128
?	10431	2508	2025	2225	1454	2174	1861	2219
?	136542	0	0	0	0	0	0	0
?	155060	461	255	193	32	303	43	110
?	26823	2	0	0	0	1	0	0
?	280660	0	42	0	0	0	0	0
?	317712	0	0	0	0	0	0	0
?	340602	7	37	0	0	0	0	1
?	388795	6	0	3	0	2	2	1
?	390284	35	12	23	5	11	6	33
?	391343	0	0	0	0	5	0	0
?	391714	0	3	0	0	0	0	2
?	404770	0	0	0	0	0	0	0
?	441362	0	0	0	0	0	0	0
?	442388	0	0	0	0	0	0	0
?	553137	933	210	32	131	551	321	165
?	57714	1948	2095	1822	143	124	329	262
?	645851	33	2	2	0	1	4	2
?	652919	142	0	37	5	0	29	0
?	653553	933	570	2148	201	623	157	2194
?	728045	0	0	0	0	0	0	0
?	728603	0	0	0	0	0	0	0
?	728788	0	1	1	3	0	0	1
?	729884	35	6	1	1	1	1	1
?	8225	1857	569	1678	634	1473	769	2150
?	90288	58	26	132	31	53	114	110
A1BG	1	20106	17310	145	124518	3544	97899	195614
A1CF	29974	3569	6073	2247	2969	3642	3718	2454
A2BP1	54715	0	1	0	0	0	1	0
A2LD1	87769	244	231	539	427	178	609	548
A2ML1	144568	0	0	0	3	1	0	1
A2M	2	754135	277017	9740	118973	224987	181384	103122
A4GALT	53947	886	178	786	68	243	95	383
A4GNT	51146	12	22	2	1	2	2	0
AAA1	404744	14	0	0	0	0	0	0
AAAS	8086	1816	1471	1562	670	1100	716	1048
AACSL	729522	13	6	1	0	1	0	0
AACS	65985	1248	2103	4854	166	833	153	390
AADACL2	344752	0	0	0	0	0	0	0
AADACL3	126767	0	0	0	0	0	0	0
AADACL4	343066	0	0	0	1	0	0	0
AADAC	13	5108	11504	41	12209	44042	26554	13685
AADAT	51166	222	104	73	1769	11	2446	245
AAGAB	79719	1800	1603	2195	546	1312	688	1502
AAK1	22848	3564	1596	2215	448	2290	818	742
AAMP	14	8586	4620	6679	2776	5288	3438	3891
AANAT	15	0	0	4	0	1	0	1
AARS2	57505	1545	850	1402	313	574	268	757
AARSD1	80755	2499	1422	978	644	660	681	1821
AARS	16	8368	12409	5172	4067	6084	4517	5086
AASDHPPT	60496	2607	1143	2927	999	1309	1157	1040
AASDH	132949	824	491	288	149	425	198	323
AASS	10157	7310	245	291	3510	741	2417	513
AATF	26574	4672	2452	2964	823	1301	1212	2442
AATK	9625	2132	255	1218	29	1049	32	387
ABAT	18	12786	7512	694	26402	19968	28045	16536
ABCA10	10349	184	1670	2	168	90	115	23
ABCA11P	79963	226	102	265	53	94	29	73
ABCA12	26154	36	17	12	5	3	0	2
ABCA13	154664	92	17	1	5	11	8	1
ABCA17P	650655	20	5	157	0	13	0	2
ABCA1	19	5118	16997	1242	4129	3532	8724	1905
ABCA2	20	5184	13568	4948	1489	4037	2031	2662
ABCA3	21	1486	257	2946	124	270	87	212
ABCA4	24	42	23	1	23	46	51	17
ABCA5	23461	1989	2077	476	940	363	1112	1322
ABCA6	23460	4709	4351	21	4884	4861	4860	2343
ABCA7	10347	1039	712	461	123	5545	167	312
ABCA8	10351	2607	35	25	1480	776	2717	2516
ABCA9	10350	181	90	15	316	255	407	166
ABCB10	23456	1678	1413	1772	889	2789	1163	970
ABCB11	8647	290	198	0	1858	110	2129	958
ABCB1	5243	10602	6827	4429	1407	801	2276	2870
ABCB4	5244	978	5573	35	4589	5330	11303	7604
ABCB5	340273	3	13	4	0	5	0	0
ABCB6	10058	2828	2497	2139	1291	3916	1193	2078
ABCB7	22	2075	1249	1014	594	921	847	683
ABCB8	11194	960	1928	2926	1034	4833	1263	1995
ABCB9	23457	523	206	131	27	174	23	63
ABCC10	89845	1267	799	1412	105	795	136	402
ABCC11	85320	21	589	11	246	2281	475	61
ABCC12	94160	0	1	0	0	7	0	1
ABCC13	150000	0	1	0	0	0	1	0
ABCC1	4363	2122	3568	2321	105	1929	314	284
ABCC2	1244	6233	5368	111	5679	3080	6321	2900
ABCC3	8714	10667	17597	46088	6309	24635	7994	8470
ABCC4	10257	5639	1428	3452	52	210	127	92
ABCC5	10057	2311	910	1428	158	344	172	445
ABCC6P1	653190	1270	1083	527	946	2393	602	530
ABCC6P2	730013	812	291	484	248	1872	175	152
ABCC6	368	6151	5426	6018	5458	12430	8929	7146
ABCC8	6833	60	6	0	1	38	3	0
ABCC9	10060	134	1185	164	2423	180	2888	858
ABCD1	215	1163	2356	533	414	3142	680	735
ABCD2	225	49	83	8	3	4	3	3
ABCD3	5825	5237	10236	3428	5890	8955	7658	2343
ABCD4	5826	2006	1040	1396	1244	910	1590	1807
ABCE1	6059	3158	5311	1398	1690	1773	2483	1763
ABCF1	23	4307	4857	3376	1854	2896	2902	3863
ABCF2	10061	1309	2157	1752	504	1324	805	1530
ABCF3	55324	3452	2023	3160	1673	2394	1854	1982
ABCG1	9619	4631	5183	1822	133	8424	595	601
ABCG2	9429	450	893	128	1079	1994	1302	982
ABCG4	64137	13	4	2	3	6	10	6
ABCG5	64240	2996	1125	4	1626	2402	2053	1606
ABCG8	64241	3727	2387	6	2201	4740	2681	3014
ABHD10	55347	1649	1592	1121	1131	1370	1415	1282
ABHD11	83451	702	433	5023	242	725	380	1005
ABHD12B	145447	2	1	6	7	1	4	2
ABHD12	26090	5818	3032	8099	1100	4240	1639	3614
ABHD13	84945	1121	1235	482	585	474	945	773
ABHD14A	25864	536	491	333	453	777	423	906
ABHD14B	84836	7988	3653	7116	6454	4472	7613	10444
ABHD15	116236	1293	818	1636	952	1536	1565	1424
ABHD1	84696	52	25	2	78	13	163	40
ABHD2	11057	32530	59825	44912	12751	24018	38897	24678
ABHD3	171586	6172	6210	6314	735	1726	1285	1135
ABHD4	63874	7320	1307	1878	509	2833	765	1040
ABHD5	51099	823	1825	489	991	700	2532	1455
ABHD6	57406	1031	1828	161	1808	1156	2667	2468
ABHD8	79575	935	1310	1041	487	915	559	1669
ABI1	10006	3292	2804	5474	865	4250	1302	1616
ABI2	10152	2110	2136	3451	350	741	464	529
ABI3BP	25890	929	321	44	46	243	233	238
ABI3	51225	864	641	369	112	381	476	505
ABL1	25	3912	3568	2935	710	1860	1622	1738
ABL2	27	1363	1508	1229	468	1237	700	758
