GeneID	length
1	1488
29974	5331
87769	462
2	4425
144568	4365
53947	1062
51146	1023
8086	3183
65985	2019
13	1200
344752	1206
126767	1896
343066	1224
51166	1278
79719	948
22848	2886
14	1305
15	1383
16	2907
57505	2958
80755	4326
132949	3297
60496	930
10157	2781
26574	1683
9625	4125
18	1503
19	6786
10349	4632
26154	14622
154664	15177
20	7311
21	5115
24	6822
23461	4929
23460	4854
10347	6441
10351	4746
10350	4875
5243	3843
23456	2217
8647	3966
5244	11400
340273	6990
10058	2529
22	2262
11194	2157
23457	4473
4363	22095
89845	4395
85320	8184
94160	4080
1244	4638
8714	6303
10257	6558
10057	4941
368	4512
6833	4746
10060	13842
215	2238
225	2223
5825	2691
5826	1821
6059	1800
23	4962
10061	3777
55324	2130
9619	10071
9429	1968
64137	1941
64240	1956
64241	2022
84696	1218
55347	921
83451	2652
26090	2412
145447	1626
84945	1014
25864	816
84836	633
116236	1407
11057	1278
171586	1230
63874	1029
51099	1050
57406	1014
79575	1320
10006	12384
10152	1428
51225	2184
25890	3228
25	6843
27	24912
3983	5862
84448	11748
22885	2052
26	2256
29	7491
137735	1146
29777	819
80325	1437
25841	3078
30	2271
10449	1194
31	27867
32	7377
80724	6453
84129	2343
27034	1248
28976	1866
33	1293
34	2544
35	1239
36	1299
37	3870
176	14889
9744	2223
23527	2337
116983	2505
38	1284
39	1194
64746	1587
79777	2751
91452	3051
84320	849
414149	267
40	3231
41	3312
9311	4878
55515	3945
51802	1518
84680	1506
390110	1707
65057	3261
1636	8196
59272	2418
125981	795
340485	828
55331	804
43	3699
22985	11529
47	6582
130013	1011
57001	378
48	2670
50	2343
641371	1266
26027	3609
134526	1668
55856	777
10965	1452
122970	1266
641372	624
11332	4299
10005	960
23597	2667
51	5835
8309	2046
8310	3978
55289	1743
52	1293
53	1755
54	978
51205	1287
92370	1443
55	2418
93650	1281
49	1266
84519	1632
93953	2076
56	2760
23205	2175
81616	2001
80221	1848
197322	1731
2180	2097
2181	2163
2182	4149
51703	4272
23305	4338
116285	1734
123876	1734
348158	1734
6296	3078
341392	1743
54988	1740
84532	2070
55902	4251
79611	2061
58	1134
59	1134
60	1128
345651	1131
70	1134
71	1128
72	1131
86	2454
51412	1281
10881	1308
10880	1248
81569	1101
284382	1251
87	8088
88	2685
89	2706
81	2736
55860	1254
10121	1131
10120	1131
10097	2385
10096	1257
57180	2304
653857	633
79913	1824
64431	1191
93973	1875
139741	1131
140625	1134
90	1530
91	4521
130399	5067
92	1542
93	1539
94	1512
95	1227
91703	960
97	468
98	300
100	1092
132612	5106
161931	3750
161823	1791
102	2247
4185	2310
8038	4947
8751	14982
6868	2475
8749	2769
8728	2757
2515	2208
8748	2331
8747	2169
53616	10614
8745	2499
10863	3951
11086	2463
11085	2373
203102	2364
80332	2442
8756	2265
8754	2460
27299	2589
9510	2904
81794	3312
81792	4785
11093	12423
140766	7353
170689	2853
170690	3675
170691	3288
170692	3666
171019	3624
9509	5337
80070	5733
9508	3618
9507	2514
11096	2793
11174	3354
11173	5061
11095	2670
56999	5808
92949	6867
9719	2856
57188	5076
54507	5859
339366	1416
11033	1125
55803	1146
103	6477
104	6477
105	2220
23536	1509
134637	576
113179	1056
113451	1383
57143	2940
90956	1881
79934	3147
203054	1743
107	3360
55811	9207
108	3276
109	3435
196883	3234
111	3786
112	6855
113	3243
114	3756
115	4062
116	531
117	1407
118	6510
119	7521
120	4146
124	1128
125	1128
126	1128
127	1143
128	1125
130	2235
131	2346
137872	1404
55256	540
149685	243
9370	735
51094	1128
79602	1161
132	2127
133	558
79924	447
23394	3309
22850	3396
84890	813
134	981
135	1239
136	999
140	2802
83440	1491
141	1074
113622	1884
54936	1092
148	5487
147	1563
146	1719
150	1398
152	1389
153	1434
154	1242
155	1227
156	2070
157	2067
11047	1224
158	2733
159	1371
122622	2877
165	3477
121536	3066
64782	978
166	1389
60312	4638
134265	4485
84632	4902
4299	7290
2334	10626
3899	7437
27125	3492
10939	2394
173	1800
125061	1839
174	1830
54812	5541
175	1041
116987	4989
116986	6090
116988	3927
119016	1992
729092	2061
414189	2061
653268	1992
728404	1992
79841	2709
340351	2763
84871	1512
60509	4815
177	2244
3267	6696
3268	1446
55109	2145
55750	1269
178	13698
79814	1059
10554	852
10555	1578
56894	1131
56895	1137
55326	1095
137964	1371
84803	1305
123688	1785
8540	1977
10551	528
155465	501
375790	6138
181	399
183	1458
23287	3561
185	1080
186	1092
57085	2187
189	1179
64902	1545
64850	4308
85007	1353
25909	6828
191	2514
10768	1593
23382	6723
27245	4812
54806	6753
79026	18123
113146	17388
196	2547
57491	2160
10598	1017
130872	414
197	1104
51327	309
57379	597
64853	921
199	726
83543	1293
9131	5433
84883	1122
150209	5430
51390	717
202	5172
9447	1032
9255	1950
7965	963
9049	993
23746	3096
326	2685
55966	1236
203	585
204	1419
50808	684
26289	3300
122481	2172
8165	2712
11216	1989
11215	5706
9590	10404
11214	20073
158798	1278
11217	5427
10566	2562
8852	5103
9495	1284
9472	6960
9465	1542
10270	2079
26993	1941
10142	11724
221264	7002
79647	1023
55122	612
80709	4320
254268	2511
10327	978
231	951
57016	951
441282	1035
1645	972
1646	1392
8644	972
1109	972
6718	2712
83592	963
8574	1080
22977	996
246181	996
207	1443
84335	771
208	1446
10000	2838
64400	879
210	993
211	1923
212	5142
213	1830
214	1752
126133	4665
5832	4770
216	1506
8854	4269
220	1539
219	1554
10840	2709
160428	2772
217	1554
218	1362
224	2985
222	1158
8659	3204
7915	3255
4329	1608
501	1620
64577	4080
223	1557
226	1095
229	1095
230	1095
56052	1395
84920	1422
144245	1422
440138	1479
79087	1467
79868	3912
199857	651
200810	564
85365	1251
10195	2490
29880	1860
29929	1524
79053	2985
79796	2667
238	4863
8846	1170
121642	786
221120	861
54784	909
54890	1185
84964	801
84266	666
91801	1995
55821	1176
7840	12504
239	1992
242	2106
246	1989
247	5784
240	2025
241	486
59344	4668
248	1587
80216	3735
115701	6513
57538	5724
249	4329
250	1608
251	1599
57679	6165
259173	3765
151254	10176
130540	2607
79800	2178
8092	981
257	1032
60529	1236
146861	1017
83650	1017
643664	1017
23600	2931
258	1344
259	1059
55626	3627
262	1566
144193	1281
51005	3105
265	1722
266	579
267	1932
268	1683
269	3159
120425	2340
57463	1482
347902	1569
386724	1515
9949	2526
83607	933
81693	1362
196394	777
154796	5283
154810	2871
51421	2343
270	4674
271	7320
272	8787
273	4050
275	4497
401138	630
276	1536
279	1536
280	1536
155185	1497
51321	1992
64682	5835
10393	558
51529	846
25847	225
119504	333
29882	2469
29945	2427
51433	4200
51434	3414
283	444
23357	2013
90806	1635
284	1497
285	4314
51378	1512
9068	1476
23452	1482
27329	1383
51129	2328
253935	1167
83854	1413
10218	1041
286	18252
287	23085
288	16140
150709	4305
348094	1569
162282	2292
51479	4977
56172	1479
54882	11364
404734	7854
54467	3270
255239	2298
126549	1848
23141	2817
51281	4980
57037	1326
57763	942
27063	960
55608	1263
29123	7992
23253	12309
88455	1773
124930	1881
81573	1626
338692	1818
54522	2001
26057	14871
26287	2067
441425	2472
728747	2472
118932	576
200539	918
170961	3441
22852	5133
84079	3153
23243	3162
147463	906
91074	4026
374860	4179
84250	3177
341405	2178
284615	1491
340120	1545
390616	1608
148741	3006
375248	5826
353322	477
51239	552
91369	1107
338699	1170
134548	1650
91526	2760
339416	801
157567	687
54851	720
63926	2331
57182	8043
283373	3231
79998	2625
129138	903
79722	1845
345079	2382
65124	1578
347454	948
22881	2169
56311	765
122416	954
23294	3405
124401	1971
257629	1254
203286	2616
55139	2181
54443	3375
55107	2961
55129	1983
57101	2997
63982	2946
121601	2763
203859	2742
196527	8202
50636	3342
57719	3699
338440	2349
8125	750
10541	756
23519	396
81611	2154
290	2904
84168	3804
118429	2937
93550	2184
301	1041
11199	975
311	1518
312	2025
302	2094
306	972
307	966
308	963
309	3948
310	2868
653145	984
728113	984
244	984
8416	1038
313	3360
314	4461
8639	2292
316	4017
55435	1719
162	8430
164	4947
8906	2358
8907	2580
10053	1272
1174	477
8905	474
130340	465
160	5802
161	2820
163	5670
1173	2610
1175	744
8546	3285
8120	3249
8943	6801
26985	1257
10947	1257
1176	582
10239	582
10717	2220
23431	3414
9179	1362
11154	915
317	8382
320	2514
321	4464
9546	1728
322	2127
54518	2001
323	7401
10307	5874
324	8532
10297	6912
147495	1545
164284	1506
325	672
327	2199
328	957
27301	1557
51107	1542
83464	1425
8539	4443
51074	729
378708	417
200558	1536
8862	234
187	1143
333	1956
334	8205
335	804
128240	867
336	303
337	1191
116519	1101
338	13692
339	711
10930	675
9582	1149
27350	573
140564	1161
200316	1428
60489	1155
164668	2169
403314	1104
341	252
344	306
345	300
346	384
347	570
348	954
319	981
350	1038
8542	3585
23780	1014
80833	1818
80831	1302
80830	1032
81575	1587
55937	567
79135	597
139322	807
351	10722
10513	1758
26060	2130
55198	1995
353	948
54840	1950
358	2493
89872	906
282679	816
375318	888
653437	924
359	816
360	879
361	972
362	798
363	849
364	1029
343	786
366	888
206338	2973
9716	4458
367	3930
369	1821
116985	11373
116984	5115
64411	4635
23237	1191
372	2808
374	759
375	546
377	546
378	543
381	543
382	528
55738	2466
84364	1566
26286	2970
10565	5550
10564	5358
27236	2148
23647	1026
10139	1128
383	969
384	1065
503582	948
55082	822
392	1320
79658	2361
9824	3072
89839	804
94134	2541
55843	1428
55114	5058
93663	1992
84986	1485
57569	3576
57584	5877
58504	2097
83478	6177
9938	7599
23092	4725
201176	2439
79822	1713
9411	3786
257106	5979
57514	4335
9743	11481
115703	6753
158763	1644
80728	3345
393	5802
394	9015
395	7539
23779	2697
64333	5763
396	615
397	606
398	678
9138	8163
9639	4035
55160	7563
9826	9258
23365	4635
22899	2526
27237	2130
9828	6192
23370	6570
128272	2409
9181	8796
50650	4857
100271715	2613
445328	1455
389337	2028
54848	660
50649	4086
7984	4794
9459	2331
8874	8964
23229	4188
8289	13065
57492	13461
196528	5508
1820	1782
10620	1683
138715	1239
5926	10953
51742	7620
10865	1785
84159	3567
25820	1674
10425	1482
400	546
285598	735
115761	591
392509	771
200894	3231
80117	579
54622	615
339231	594
51326	912
641522	378
402	555
23568	492
403	549
10124	603
10123	579
379	606
26225	969
221079	540
390790	540
84100	561
23204	612
51329	4185
10550	567
151188	681
127829	561
55207	561
55156	849
83787	5097
84071	2604
219681	2619
55130	3135
79798	4986
93436	1431
79637	597
25852	3138
80210	1998
51309	1362
9823	1899
51566	1140
64860	1677
54470	903
387715	324
405	4695
9915	2154
406	3627
56938	1911
10552	1113
10095	1119
10109	903
10094	537
10093	744
