GeneID	length
NM_001291929	166388
NM_016039	15193
NM_006739	24380
NM_032385	32162
NM_021034	1242
NM_020932	3701
NM_020929	1345436
NM_021029	5265
NM_032378	17979
NR_002833	104876
NR_002832	170952
NR_002824	95995
NM_003167	15932
NM_002953	45272
NM_001234	12966
NM_001233	8941
NM_002952	2766
NM_001170701	44261
NM_001725	33354
NM_004369	90196
NM_000847	13058
NM_005425	1447
NM_005422	88141
NR_004384	123
NR_004383	128
NR_004381	85
NR_004380	80
NR_004379	72
NR_004378	137
NM_172037	30684
NM_145044	7478
NR_040089	27212
NM_001278366	51798
NM_001130138	6554
NM_001130140	43763
NM_001164555	123805
NM_001098514	22024
NM_033089	2760
NM_031423	33831
NM_032299	41532
NM_032307	18437
NM_032293	129073
NM_001134419	24918
NM_001291454	57600
NM_000416	21947
NM_006943	4658
NM_000139	9804
NR_003140	76
NM_021620	8805
NM_033356	27212
NR_036146	469877
NR_036145	84
NM_000303	51525
NM_000293	240225
NM_001146698	144318
NM_000170	113229
NM_001163677	27302
NM_001159560	2084
NM_001159508	15827
NM_001167604	58788
NM_001173542	117448
NM_001127704	13946
NM_001164415	2799
NM_001199621	141268
NM_001163151	95284
NM_001163150	95284
NM_001142477	28794
NM_001142475	247629
NM_001141972	25931
NM_001139457	23610
NM_001141968	113885
NM_005536	29439
NM_003718	146775
NM_001301823	39403
NM_001887	18630
NM_014914	637712
NM_018263	139060
NM_001261833	3570
NM_176806	14094
NM_173821	3597
NM_001303461	35037
NM_024318	3782
NM_145283	40689
NM_145279	7419
NM_033168	21490
NM_033167	21490
NM_022736	27794
NM_033177	4175
NM_001242314	206154
NM_001242312	61908
NM_018846	69122
NM_054032	1444
NM_153716	1921
NM_138780	122239
NR_038460	6189
NR_038458	1693
NR_046796	1277
NR_046793	4721
NR_038951	7958
NR_038949	25832
NR_039725	83
NM_152735	2965
NM_152734	43101
NM_152733	427617
NM_198843	11425
NM_144674	67442
NM_001297724	109539
NM_138272	3365
NM_139009	7961
NM_152735	2965
NM_000506	20314
NM_000492	188702
NM_001177310	165226
NM_001198569	6498
NM_001198558	11384
NM_014826	328261
NM_004434	148651
NM_025261	3087
NM_005444	27856
NR_039701	60
NR_037442	65
NM_006227	13745
NM_019099	17361
NM_015311	20819
NM_019108	23842
NM_022728	3464
NM_001252669	304257
NM_001242823	20626
NM_001242823	20625
NM_001242823	20625
NM_001166292	23101
NM_001302646	5865
NM_001142704	20231
NM_001351	18706
NM_016440	49082
NM_001201483	10577
NM_001204803	216365
NM_001204747	78933
NM_001135748	17683
NM_001145298	22795
NM_001142269	16680
NM_001198780	13989
NM_005984	3289
NR_130122	33920
NM_018471	23203
NM_020661	10681
NM_020655	95269
NM_021126	10073
NM_020973	126659
NM_018465	79971
NM_032098	2412
NM_001127397	31889
NM_000934	12430
NR_030376	94
NR_030379	97
NR_039760	76
NM_001136561	1367
NM_001204375	80393
NM_001193315	30966
NM_001174147	86590
NM_001303135	18163
NM_006813	4451
NM_004382	51549
NM_001778	33106
NM_000199	11121
NM_001160328	17859
NM_001146054	112878
NM_001145951	683
NM_001178044	15850
NR_125716	7545
NM_001165885	25703
NM_001165884	25703
NM_001165883	25703
NM_001165882	25638
NM_001289134	56775
NM_005829	63787
NM_007314	130358
NM_015608	44629
NM_001135154	66879
NM_001159736	24829
NM_001145852	107893
NM_001136273	3306
NM_001136269	7994
NM_001145338	3539
NM_001145338	3539
NM_001145335	57004
NM_001142318	9460
NM_001142317	9013
NM_001135816	2651
NM_001135775	10823
NM_001142307	44775
NM_001145317	22037
NM_001142298	31690
NM_001145315	22037
NM_001166277	92045
NM_001167733	12260
NM_001143994	2576
NM_001135162	18454
NM_001135161	19039
NM_001145127	11882
NM_001145125	23387
NM_001145123	21439
NM_001135099	43515
NM_001135109	62994
NM_001134999	93827
NM_001145121	12316
NM_001145118	54659
NM_207365	23853
NM_173649	26931
NM_015365	123967
NM_015363	66175
NM_021936	228035
NM_017446	21834
NM_000187	54404
NM_003750	45794
NM_001543	50100
NM_000902	104083
NM_003284	601
NM_001291696	14311
NM_001444	4295
NM_001668	67064
NM_005925	30380
NM_005992	26887
NM_006101	45125
NM_001204109	47532
NM_004640	12254
NM_004640	12254
NM_004640	12237
NM_001185114	3858
NM_001185113	3858
NM_001185112	3858
NM_033668	35241
NM_001145998	49864
NM_001163213	15561
NM_001130087	193523
NM_001130086	193523
NM_001143783	10731
NM_001146109	50134
NM_001163287	22675
NM_001146108	36889
NM_001168412	27211
NM_001145077	2219
NM_001144972	15054
NR_120349	22248
NM_001094	1143720
NM_000280	26562
NM_001197331	38200
NM_001077268	7494
NM_001170794	370381
NM_001143680	5701
NM_001145276	47436
NM_001145275	47030
NM_001198616	208539
NM_001170751	71590
NM_001170750	71590
NM_001193414	21046
NM_206811	15393
NM_206811	15393
NM_001002879	45489
NM_000625	43764
NM_000418	50870
NM_001178138	205117
NM_002601	48903
NM_002590	4667
NM_006118	3317
NM_006116	32129
NM_006114	12470
NM_014328	7182
NM_001198656	123914
NM_001198634	140688
NM_024654	33252
NM_031217	87584
NM_031215	18654
NM_031213	8544
NM_001270928	13942
NM_001193485	32435
NM_001198617	208539
NM_001204467	41598
NM_001145210	3025
NM_017969	45705
NM_033112	7953
NM_002240	291957
NM_001170687	15196
NM_001838	11715
NM_001837	24326
NM_003635	9921
NM_002185	22729
NM_002013	18931
NM_006214	22335
NM_006212	24543
NM_018453	23809
NM_019007	2884
NM_019003	1976
NM_018903	137043
NM_019002	13092
NR_120352	1589
NM_024676	14241
NM_021908	270581
NM_021911	259695
NM_001290312	59805
NM_007320	62169
NM_006260	117851
NM_006105	23792
NM_014571	16246
NM_017682	5865
NM_006581	199644
NM_004608	6091
NM_006576	18693
NM_001282704	49095
NM_005122	8545
NM_001220	108482
NM_005035	16346
NM_173618	9582
NM_004519	359900
NM_003739	13311
NM_003737	34526
NM_004172	81980
NM_001991	44779
NM_004712	18190
NM_006350	6041
NM_004223	16053
NM_002298	56402
NM_004214	4800
NM_002308	18413
NM_002307	2550
NM_002306	16214
NM_002332	84844
NM_002294	43202
NM_001282488	11559
NM_001282487	8747
NM_001282485	127748
NM_001282479	2824
NM_001282479	2824
NM_001286463	17091
NM_001286462	20396
NM_001080140	3318
NM_001080139	54807
NM_001100429	182486
NM_178571	12508
NM_139136	169671
NM_138295	173822
NM_001281529	2810
NM_001281528	2810
NR_003948	6419
NM_001281303	84341
NM_001278592	4791
NM_001271036	7850
NM_002747	171713
NM_005294	2023
NM_005303	923
NR_104177	6993
NR_104163	27125
NR_104162	35540
NR_047470	7930
NR_046696	141304
NM_001042600	30396
NM_001198830	14427
NM_001198829	14427
NM_001190881	90365
NM_001190879	90351
NM_000465	84066
NM_001199874	6659
NM_001199868	44008
NM_001199867	54026
NM_001203244	13088
NM_002584	105133
NM_001242916	65833
NM_001242914	78234
NM_002124	11067
NM_006230	8891
NM_002512	5473
NM_001975	9246
NM_005657	103296
NM_004037	11475
NM_004602	75029
NM_004190	14427
NM_002300	22515
NM_005659	29275
NM_005658	24503
NM_001204184	83637
NM_006003	5970
NM_005893	1943
NM_002039	137736
NM_001939	44553
NM_013248	4036
NM_012345	50230
NM_004012	1293027
NM_005860	7004
NM_003815	11505
NM_005875	2743
NM_003919	70986
NM_004667	211116
NM_004019	88713
NM_004018	147680
NM_004017	147680
NM_000680	95701
NM_001194991	5337
NM_001199377	63863
NM_000222	82787
NM_182612	10265
NM_182595	1270
NM_182594	25025
NM_182592	29305
NM_138697	24480
NM_005543	5062
NM_012062	66451
NM_009587	18413
NM_014160	26698
NM_025256	17955
NM_001287751	30166
NM_018301	52525
NM_018291	465778
NM_057093	3216
NM_173851	41617
NM_145112	27421
NM_001163544	94587
NM_001134707	74796
NM_001098625	20964
NM_001127398	31889
NM_001127321	28640
NM_001193269	34328
NM_000275	344436
NM_001304467	34111
NM_014828	21987
NM_001199	36344
NM_015690	30692
NR_002776	22471
NM_001282327	30389
NR_024387	2459
NR_002775	24414
NR_002773	2073
NM_001280794	16072
NM_003795	50044
NM_199243	1305
NM_001134665	17351
NM_001130092	35016
NR_120322	73232
NM_001113512	179919
NM_001165039	96817
NM_001184703	53999
NM_001165037	82085
NM_001159708	51830
NM_001166422	5522
NM_001165034	55564
NM_001165033	54817
NM_001142610	97097
NM_001143771	187302
NM_001145798	266308
NM_001130920	16168
NM_001166692	2633
NM_001172411	56272
NM_001199551	13545
NM_001199255	17789
NM_001605	37116
NM_002914	22957
NM_001160	90134
NM_001161566	397906
NR_024037	68746
NR_024041	2270
NR_003665	1362
NM_001242893	41138
NM_001256542	9833
NM_001276722	64799
NR_111934	4293
NM_001190267	44104
NM_001190266	44104
NM_001166061	95966
NR_120542	7983
NM_006630	18753
NM_018352	26019
NM_018351	140716
NM_006640	181082
NM_006920	84480
NR_126055	9108
NM_001300727	37158
NM_001297640	14729
NR_073453	8011
NM_000381	175325
NM_000514	27004
NM_000513	14268
NM_001193572	13044
NM_003960	1688
NM_001265602	47160
NM_001265592	31005
NM_001287443	63381
NM_001727	4474
NM_001170702	44261
NM_002036	2488
NM_001062	13761
NM_001201340	45444
NM_012196	7261
NM_001303134	16670
NM_002740	83551
NM_005387	85964
NM_005386	2484
NM_005384	14818
NM_005383	2386
NR_024227	121
NR_024228	121
NR_024228	121
NR_024228	121
NR_024228	121
NR_024228	121
NM_001025089	322993
NM_032258	10913
NM_032852	81165
NM_001159740	2225
NM_001198784	10188
NM_001171713	109821
NR_121626	8939
NM_006255	229538
NM_001007261	16681
NM_001270401	7109
NR_003590	22191
NR_023386	25266
NM_001297669	292504
NM_002580	2749
NR_047602	232292
NM_005355	27217
NM_007362	7192
