GeneID	length
A1BG	6694
A1BG-AS1	3214
A1CF	86267
A2M	48255
A2M-AS1	2879
A2ML1	43007
A2MP1	5675
A3GALT2	14333
A4GALT	28750
A4GNT	8670
AA06	3974
AAAS	14173
AACS	77947
AACSP1	11414
AADAC	14416
AADACL2	23853
AADACL2-AS1	176997
AADACL3	12609
AADACL4	22532
AADACP1	14439
AADAT	29994
AAED1	14067
AAGAB	54216
AAK1	185851
AAMDC	51191
AAMP	6081
AANAT	7302
AAR2	20525
AARD	5776
AARS	37116
AARS2	14601
AARSD1	13973
AASDH	47445
AASDHPPT	21128
AASS	70747
AATBC	6810
AATF	107997
AATK	31715
AATK-AS1	17658
ABAT	81819
ABCA1	147244
ABCA10	96809
ABCA11P	48775
ABCA12	171439
ABCA13	476035
ABCA17P	85778
ABCA2	21372
ABCA3	64869
ABCA4	128312
ABCA5	76974
ABCA6	63169
ABCA7	25469
ABCA8	88106
ABCA9	86364
ABCA9-AS1	13610
ABCB1	209461
ABCB10	42114
ABCB11	108385
ABCB4	73659
ABCB5	71085
ABCB6	9225
ABCB7	103169
ABCB8	19361
ABCB9	40020
ABCC1	193497
ABCC10	20774
ABCC11	67298
ABCC12	63798
ABCC13	22580
ABCC2	69595
ABCC3	44958
ABCC4	243647
ABCC5	66096
ABCC5-AS1	5082
ABCC6	38096
ABCC6P1	27038
ABCC6P2	2271
ABCC8	83961
ABCC9	135413
ABCD1	19894
ABCD2	68822
ABCD3	80308
ABCD4	17788
ABCE1	31521
ABCF1	20139
ABCF2	17714
ABCF3	7933
ABCG1	84947
ABCG2	104828
ABCG4	13350
ABCG5	26348
ABCG8	39503
ABHD1	7024
ABHD10	14493
ABHD11	2762
ABHD11-AS1	932
ABHD12	93512
ABHD12B	32811
ABHD13	15841
ABHD14A	6175
ABHD14A-ACY1	14177
ABHD14B	6121
ABHD15	6354
ABHD16A	16272
ABHD16B	1776
ABHD17A	8544
ABHD17B	47431
ABHD17C	60311
ABHD2	114211
ABHD3	53909
ABHD4	14119
ABHD5	31843
ABHD6	57203
ABHD8	11343
ABI1	114492
ABI2	96206
ABI3	12999
ABI3BP	244156
ABL1	113108
ABL2	96478
ABLIM1	207525
ABLIM2	177457
ABLIM3	118851
ABO	20068
ABR	113981
ABRA	10762
ABRACL	14621
ABT1	3107
ABTB1	7989
ABTB2	207022
ACAA1	14533
ACAA2	30378
ACACA	270723
ACACB	128829
ACAD10	71055
ACAD11	101994
ACAD8	12313
ACAD9	33625
ACADL	37500
ACADM	39332
ACADS	14271
ACADSB	49378
ACADVL	6114
ACAN	71912
ACAP1	14946
ACAP2	168353
ACAP3	15506
ACAT1	26634
ACAT2	16866
ACBD3	42044
ACBD4	8896
ACBD5	46206
ACBD6	214671
ACBD7	13302
ACCS	17800
ACCSL	11997
ACD	3304
ACE	16149
ACE2	41037
ACER1	27131
ACER2	43576
ACER3	165925
ACHE	5856
ACIN1	27432
ACKR1	1865
ACKR2	57812
ACKR3	12615
ACKR4	3955
ACLY	52100
ACMSD	63417
ACN9	65171
ACO1	66232
ACO2	59865
ACOT1	6571
ACOT11	74405
ACOT12	64042
ACOT13	38033
ACOT2	7320
ACOT4	4061
ACOT6	3045
ACOT7	110538
ACOT8	15689
ACOT9	39631
ACOX1	37927
ACOX2	32067
ACOX3	74444
ACOXL	385650
ACP1	11964
ACP2	9502
ACP5	3963
ACP6	23467
ACPP	44632
ACPT	4810
ACR	7076
ACRBP	9339
ACRC	35560
ACRV1	8565
ACSBG1	63863
ACSBG2	57471
ACSF2	42664
ACSF3	54915
